title,year,rating,genres,description,director,url
C&apos;era una volta il West,,8.5,"Drama, Western",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,https://www.imdb.com/title/tt0064116/
Django Unchained,,8.5,Western,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",Quentin Tarantino,https://www.imdb.com/title/tt1853728/
City Lights,,8.5,"Comedy, Drama, Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,https://www.imdb.com/title/tt0021749/
Apocalypse Now,,8.4,"Drama, Mystery, War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,https://www.imdb.com/title/tt0078788/
Dune: Part Two,,8.5,"Action, Adventure, Drama","Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible fu...",Denis Villeneuve,https://www.imdb.com/title/tt15239678/
WALL·E,,8.4,"Animation, Adventure, Family","A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",Andrew Stanton,https://www.imdb.com/title/tt0910970/
Memento,,8.4,"Mystery, Thriller",A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife&apos;s murderer.,Christopher Nolan,https://www.imdb.com/title/tt0209144/
Raiders of the Lost Ark,,8.4,"Action, Adventure","In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",Steven Spielberg,https://www.imdb.com/title/tt0082971/
Das Leben der Anderen,,8.4,"Drama, Mystery, Thriller","In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,https://www.imdb.com/title/tt0405094/
Avengers: Infinity War,,8.4,"Action, Adventure, Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,https://www.imdb.com/title/tt4154756/
Sunset Boulevard,,8.4,"Drama, Film-Noir",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,https://www.imdb.com/title/tt0043014/
Spider-Man: Into the Spider-Verse,,8.4,"Animation, Action, Adventure",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Bob Persichetti,https://www.imdb.com/title/tt4633694/
Witness for the Prosecution,,8.4,"Crime, Drama, Mystery",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,https://www.imdb.com/title/tt0051201/
Paths of Glory,,8.4,"Drama, War",A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,Stanley Kubrick,https://www.imdb.com/title/tt0050825/
The Shining,,8.4,"Drama, Horror","A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",Stanley Kubrick,https://www.imdb.com/title/tt0081505/
The Great Dictator,,8.4,"Comedy, Drama, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.,Charles Chaplin,https://www.imdb.com/title/tt0032553/
12th Fail,,8.8,"Biography, Drama",The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,Vidhu Vinod Chopra,https://www.imdb.com/title/tt23849204/
Inglourious Basterds,,8.4,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.",Quentin Tarantino,https://www.imdb.com/title/tt0361748/
Aliens,,8.4,"Action, Adventure, Horror","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",James Cameron,https://www.imdb.com/title/tt0090605/
The Dark Knight Rises,,8.4,"Action, Crime, Drama","Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",Christopher Nolan,https://www.imdb.com/title/tt1345836/
Coco,,8.4,"Animation, Adventure, Drama","Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,https://www.imdb.com/title/tt2380307/
Amadeus,,8.4,"Biography, Drama, Music","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart&apos;s talent and claimed to have murdered him.",Milos Forman,https://www.imdb.com/title/tt0086879/
Toy Story,,8.3,"Animation, Adventure, Comedy",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy&apos;s bedroom.,John Lasseter,https://www.imdb.com/title/tt0114709/
Avengers: Endgame,2018,8.4,"Action, Adventure, Sci-Fi","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.",Anthony Russo,https://www.imdb.com/title/tt4154796/
Good Will Hunting,,8.3,"Drama, Romance","Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,https://www.imdb.com/title/tt0119217/
Oldeuboi,,8.3,"Action, Drama, Mystery","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",Park Chan-wook,https://www.imdb.com/title/tt0364569/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,8.3,"Comedy, War","A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick,https://www.imdb.com/title/tt0057012/
Das Boot,,8.4,"Drama, War",A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Wolfgang Petersen,https://www.imdb.com/title/tt0082096/
Braveheart,,8.3,"Biography, Drama, War",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,https://www.imdb.com/title/tt0112573/
American Beauty,,8.3,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.,Sam Mendes,https://www.imdb.com/title/tt0169547/
Mononoke-hime,,8.3,"Animation, Adventure, Fantasy","While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her h...",Hayao Miyazaki,https://www.imdb.com/title/tt0119698/
Kimi no na wa.,,8.4,"Animation, Drama, Fantasy","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Makoto Shinkai,https://www.imdb.com/title/tt5311514/
Tengoku to jigoku,,8.4,"Crime, Drama, Mystery",An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.,Akira Kurosawa,https://www.imdb.com/title/tt0057565/
3 Idiots,,8.4,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;.",Rajkumar Hirani,https://www.imdb.com/title/tt1187043/
